,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
211,211,Wazir Pur III S.O,110052,DELHI,North West Delhi,Delhi,28.6418228,77.2099906
212,212,Wazirabad Village S.O,110084,DELHI,North Delhi,North,28.7336221,77.2190228
213,213,A.G.C.R. S.O,110002,DELHI,Central Delhi,New Delhi,28.653869,77.299011
214,214,A.K.Market S.O,110055,DELHI,Central Delhi,New Delhi,28.6393528,77.0740746
215,215,Ajmeri Gate Extn. S.O,110002,DELHI,Central Delhi,New Delhi,0,0
216,216,Anand Parbat Indl. Area S.O,110005,DELHI,Central Delhi,New Delhi,28.6525373,77.3124158
217,217,Anand Parbat S.O,110005,DELHI,Central Delhi,New Delhi,28.6525373,77.3124158
218,218,Bank Street S.O (Central Delhi),110005,DELHI,Central Delhi,New Delhi,28.6537539,77.1889184
219,219,Baroda House S.O,110001,DELHI,Central Delhi,New Delhi,22.3510156,73.2136743
220,220,Bengali Market S.O,110001,DELHI,Central Delhi,New Delhi,28.5979849,77.0788227
221,221,Bhagat Singh Market S.O,110001,DELHI,Central Delhi,New Delhi,28.6654594,77.1955639
222,222,Connaught Place S.O,110001,DELHI,Central Delhi,New Delhi,28.631562,77.2226341
223,223,Constitution House S.O,110001,DELHI,Central Delhi,New Delhi,0,0
224,224,Dada Ghosh Bhawan S.O,110008,DELHI,Central Delhi,New Delhi,27.4607643,76.6961305
225,225,Darya Ganj S.O,110002,DELHI,Central Delhi,New Delhi,0,0
226,226,Delhi High Court Extension Counter S.O,110003,DELHI,Central Delhi,Delhi,28.6139391,77.2090212
227,227,Delhi High Court S.O,110003,DELHI,Central Delhi,New Delhi,28.6139391,77.2090212
228,228,Desh Bandhu Gupta Road S.O,110005,DELHI,Central Delhi,New Delhi,0,0
229,229,Election Commission S.O,110001,DELHI,Central Delhi,New Delhi,0,0
230,230,Gandhi Smarak Nidhi S.O,110002,DELHI,Central Delhi,New Delhi,28.6583092,77.2226987
231,231,Guru Gobind Singh Marg S.O,110005,DELHI,Central Delhi,New Delhi,28.6501272,77.2880609
232,232,Hauz Qazi S.O,110006,DELHI,Central Delhi,Delhi,0,0
233,233,I.A.R.I. S.O,110012,DELHI,Central Delhi,New Delhi,29.702892,76.9913075
234,234,I.P.Estate S.O,110002,DELHI,Central Delhi,New Delhi,28.6202226,77.248659
235,235,Inderpuri S.O,110012,DELHI,Central Delhi,New Delhi,28.6319998,77.1450994
236,236,Indraprastha H.O,110002,DELHI,Central Delhi,New Delhi,28.6545622,77.2308955
237,237,Jama Masjid S.O,110006,DELHI,Central Delhi,Delhi,28.6515027,77.2326442
238,238,Janpath S.O,110001,DELHI,Central Delhi,New Delhi,28.6278172,77.2189594
239,239,Karol Bagh S.O,110005,DELHI,Central Delhi,New Delhi,0,0
